listen on 3000
[00:22:41.055] GET /css/sync.css
[00:22:41.056] GET /js/sync.js?_=1470003760766
[00:22:41.118] GET /
[00:22:41.123] GET /sync
[00:22:41.137] GET /css/normalize.css
[00:22:41.138] GET /css/sweetalert.css
[00:22:41.139] GET /css/default.css
[00:22:41.142] GET /js/jquery.min.js
[00:22:41.179] GET /js/jquery.qrcode.min.js
[00:22:41.190] GET /js/rx.lite.js
[00:22:41.232] GET /js/mustache.min.js
[00:22:41.241] GET /js/sweetalert.min.js
[00:22:41.252] GET /js/utility.js
[00:22:41.259] GET /js/main.js
[00:22:41.266] GET /js/.js?_=1470003760966
[00:22:41.268] GET /css/sync.css
[00:22:41.271] GET /js/sync.js?_=1470003760967
[00:22:41.324] GET /
[00:22:41.328] GET /sync
[00:22:41.337] GET /css/normalize.css
[00:22:41.338] GET /css/sweetalert.css
[00:22:41.338] GET /css/default.css
[00:22:41.345] GET /js/jquery.min.js
[00:22:41.388] GET /js/jquery.qrcode.min.js
[00:22:41.396] GET /js/rx.lite.js
[00:22:41.435] GET /js/mustache.min.js
[00:22:41.447] GET /js/sweetalert.min.js
[00:22:41.456] GET /js/utility.js
[00:22:41.463] GET /js/main.js
[00:22:41.469] GET /js/.js?_=1470003761175
[00:22:41.477] GET /css/sync.css
[00:22:41.479] GET /js/sync.js?_=1470003761176
[00:22:41.542] GET /
[00:22:41.543] GET /sync
[00:22:41.561] GET /css/normalize.css
[00:22:41.562] GET /css/sweetalert.css
[00:22:41.563] GET /css/default.css
[00:22:41.564] GET /js/jquery.min.js
[00:22:41.610] GET /js/jquery.qrcode.min.js
[00:22:41.617] GET /js/rx.lite.js
[00:22:41.656] GET /js/mustache.min.js
[00:22:41.663] GET /js/sweetalert.min.js
[00:22:41.671] GET /js/utility.js
[00:22:41.676] GET /js/main.js
[00:22:41.686] GET /js/.js?_=1470003761382
[00:22:41.691] GET /css/sync.css
[00:22:41.695] GET /js/sync.js?_=1470003761383
[00:22:41.748] GET /
[00:22:41.750] GET /sync
[00:22:41.762] GET /css/normalize.css
[00:22:41.763] GET /css/sweetalert.css
[00:22:41.764] GET /css/default.css
[00:22:41.780] GET /js/jquery.min.js
[00:22:41.817] GET /js/jquery.qrcode.min.js
[00:22:41.828] GET /js/rx.lite.js
[00:22:41.869] GET /js/mustache.min.js
[00:22:41.876] GET /js/sweetalert.min.js
[00:22:41.891] GET /js/utility.js
[00:22:41.897] GET /js/main.js
[00:22:41.904] GET /js/.js?_=1470003761606
[00:22:41.911] GET /css/sync.css
[00:22:41.912] GET /js/sync.js?_=1470003761607
[00:22:41.965] GET /
[00:22:41.971] GET /sync
[00:22:41.985] GET /css/normalize.css
[00:22:41.986] GET /css/sweetalert.css
[00:22:41.986] GET /css/default.css
[00:22:41.989] GET /js/jquery.min.js
[00:22:42.032] GET /js/jquery.qrcode.min.js
[00:22:42.053] GET /js/rx.lite.js
[00:22:42.105] GET /js/mustache.min.js
[00:22:42.121] GET /js/sweetalert.min.js
[00:22:42.130] GET /js/utility.js
[00:22:42.133] GET /js/main.js
[00:22:42.139] GET /js/.js?_=1470003761812
[00:22:42.142] GET /css/sync.css
[00:22:42.143] GET /js/sync.js?_=1470003761813
[00:22:42.761] GET /
[00:22:42.763] GET /sync
[00:22:42.769] GET /css/normalize.css
[00:22:42.769] GET /css/sweetalert.css
[00:22:42.770] GET /css/default.css
[00:22:42.776] GET /js/jquery.min.js
[00:22:42.807] GET /js/jquery.qrcode.min.js
[00:22:42.813] GET /js/rx.lite.js
[00:22:42.845] GET /js/mustache.min.js
[00:22:42.852] GET /js/sweetalert.min.js
[00:22:42.861] GET /js/utility.js
[00:22:42.865] GET /js/main.js
[00:22:42.869] GET /js/.js?_=1470003762026
[00:22:42.873] GET /css/sync.css
[00:22:42.875] GET /js/sync.js?_=1470003762027
[00:22:44.758] GET /
[00:22:44.759] GET /sync
[00:22:44.765] GET /css/normalize.css
[00:22:44.766] GET /css/sweetalert.css
[00:22:44.766] GET /css/default.css
[00:22:44.769] GET /js/jquery.min.js
[00:22:44.794] GET /js/jquery.qrcode.min.js
[00:22:44.800] GET /js/rx.lite.js
[00:22:44.831] GET /js/mustache.min.js
[00:22:44.837] GET /js/sweetalert.min.js
[00:22:44.847] GET /js/utility.js
[00:22:44.851] GET /js/main.js
[00:22:44.856] GET /js/.js?_=1470003762802
[00:22:44.859] GET /css/sync.css
[00:22:44.861] GET /js/sync.js?_=1470003762803
[00:22:46.250] GET /
[00:22:46.250] GET /sync
[00:22:46.262] GET /css/normalize.css
[00:22:46.262] GET /css/sweetalert.css
[00:22:46.263] GET /css/default.css
[00:22:46.264] GET /js/jquery.min.js
[00:22:46.316] GET /js/jquery.qrcode.min.js
[00:22:46.323] GET /js/rx.lite.js
[00:22:46.365] GET /js/mustache.min.js
[00:22:46.373] GET /js/sweetalert.min.js
[00:22:46.382] GET /js/utility.js
[00:22:46.387] GET /js/main.js
[00:22:46.395] GET /js/.js?_=1470003764791
[00:22:46.399] GET /css/sync.css
[00:22:46.401] GET /js/sync.js?_=1470003764792
[00:22:46.453] GET /
[00:22:46.455] GET /sync
[00:22:46.465] GET /css/normalize.css
[00:22:46.465] GET /css/sweetalert.css
[00:22:46.466] GET /css/default.css
[00:22:46.469] GET /js/jquery.min.js
[00:22:46.511] GET /js/jquery.qrcode.min.js
[00:22:46.520] GET /js/rx.lite.js
[00:22:46.556] GET /js/mustache.min.js
[00:22:46.564] GET /js/sweetalert.min.js
[00:22:46.576] GET /js/utility.js
[00:22:46.580] GET /js/main.js
[00:22:46.586] GET /js/.js?_=1470003766308
[00:22:46.592] GET /css/sync.css
[00:22:46.594] GET /js/sync.js?_=1470003766309
[00:22:46.663] GET /
[00:22:46.667] GET /sync
[00:22:46.679] GET /css/normalize.css
[00:22:46.680] GET /css/sweetalert.css
[00:22:46.680] GET /css/default.css
[00:22:46.685] GET /js/jquery.min.js
[00:22:46.729] GET /js/jquery.qrcode.min.js
[00:22:46.735] GET /js/rx.lite.js
[00:22:46.775] GET /js/mustache.min.js
[00:22:46.782] GET /js/sweetalert.min.js
[00:22:46.791] GET /js/utility.js
[00:22:46.795] GET /js/main.js
[00:22:46.802] GET /js/.js?_=1470003766506
[00:22:46.813] GET /css/sync.css
[00:22:46.816] GET /js/sync.js?_=1470003766507
[00:22:46.879] GET /
[00:22:46.882] GET /sync
[00:22:46.896] GET /css/normalize.css
[00:22:46.896] GET /css/sweetalert.css
[00:22:46.897] GET /css/default.css
[00:22:46.901] GET /js/jquery.min.js
[00:22:46.946] GET /js/jquery.qrcode.min.js
[00:22:46.955] GET /js/rx.lite.js
[00:22:47.002] GET /js/mustache.min.js
[00:22:47.012] GET /js/sweetalert.min.js
[00:22:47.023] GET /js/utility.js
[00:22:47.027] GET /js/main.js
[00:22:47.033] GET /js/.js?_=1470003766725
[00:22:47.041] GET /css/sync.css
[00:22:47.044] GET /js/sync.js?_=1470003766726
[00:22:47.107] GET /
[00:22:47.109] GET /sync
[00:22:47.116] GET /css/normalize.css
[00:22:47.116] GET /css/sweetalert.css
[00:22:47.117] GET /css/default.css
[00:22:47.120] GET /js/jquery.min.js
[00:22:47.163] GET /js/jquery.qrcode.min.js
[00:22:47.177] GET /js/rx.lite.js
[00:22:47.213] GET /js/mustache.min.js
[00:22:47.221] GET /js/sweetalert.min.js
[00:22:47.234] GET /js/utility.js
[00:22:47.238] GET /js/main.js
[00:22:47.243] GET /js/.js?_=1470003766942
[00:22:47.246] GET /css/sync.css
[00:22:47.248] GET /js/sync.js?_=1470003766943
[00:22:47.315] GET /
[00:22:47.319] GET /sync
[00:22:47.331] GET /css/normalize.css
[00:22:47.332] GET /css/sweetalert.css
[00:22:47.332] GET /css/default.css
[00:22:47.336] GET /js/jquery.min.js
[00:22:47.379] GET /js/jquery.qrcode.min.js
[00:22:47.404] GET /js/rx.lite.js
[00:22:47.441] GET /js/mustache.min.js
[00:22:47.450] GET /js/sweetalert.min.js
[00:22:47.460] GET /js/utility.js
[00:22:47.467] GET /js/main.js
[00:22:47.474] GET /js/.js?_=1470003767159
[00:22:47.479] GET /css/sync.css
[00:22:47.481] GET /js/sync.js?_=1470003767160
[00:22:47.540] GET /
[00:22:47.543] GET /sync
[00:22:47.556] GET /css/normalize.css
[00:22:47.557] GET /css/sweetalert.css
[00:22:47.557] GET /css/default.css
[00:22:47.562] GET /js/jquery.min.js
[00:22:47.605] GET /js/jquery.qrcode.min.js
[00:22:47.618] GET /js/rx.lite.js
[00:22:47.652] GET /js/mustache.min.js
[00:22:47.662] GET /js/sweetalert.min.js
[00:22:47.672] GET /js/utility.js
[00:22:47.676] GET /js/main.js
[00:22:47.684] GET /js/.js?_=1470003767375
[00:22:47.689] GET /css/sync.css
[00:22:47.692] GET /js/sync.js?_=1470003767376
[00:22:47.749] GET /
[00:22:47.753] GET /sync
[00:22:47.769] GET /css/normalize.css
[00:22:47.770] GET /css/sweetalert.css
[00:22:47.770] GET /css/default.css
[00:22:47.771] GET /js/jquery.min.js
[00:22:47.819] GET /js/jquery.qrcode.min.js
[00:22:47.826] GET /js/rx.lite.js
[00:22:47.863] GET /js/mustache.min.js
[00:22:47.872] GET /js/sweetalert.min.js
[00:22:47.886] GET /js/utility.js
[00:22:47.891] GET /js/main.js
[00:22:47.896] GET /js/.js?_=1470003767598
[00:22:47.900] GET /css/sync.css
[00:22:47.901] GET /js/sync.js?_=1470003767599
[00:22:47.958] GET /
[00:22:47.961] GET /sync
[00:22:47.970] GET /css/normalize.css
[00:22:47.971] GET /css/sweetalert.css
[00:22:47.971] GET /css/default.css
[00:22:47.975] GET /js/jquery.min.js
[00:22:48.015] GET /js/jquery.qrcode.min.js
[00:22:48.024] GET /js/rx.lite.js
[00:22:48.056] GET /js/mustache.min.js
[00:22:48.062] GET /js/sweetalert.min.js
[00:22:48.076] GET /js/utility.js
[00:22:48.081] GET /js/main.js
[00:22:48.087] GET /js/.js?_=1470003767813
[00:22:48.096] GET /css/sync.css
[00:22:48.099] GET /js/sync.js?_=1470003767814
[00:22:48.120] GET /
[00:22:48.122] GET /sync
[00:22:48.163] GET /css/normalize.css
[00:22:48.164] GET /css/sweetalert.css
[00:22:48.164] GET /css/default.css
[00:22:48.169] GET /js/jquery.min.js
[00:22:48.211] GET /js/jquery.qrcode.min.js
[00:22:48.222] GET /js/rx.lite.js
[00:22:48.257] GET /js/mustache.min.js
[00:22:48.263] GET /js/sweetalert.min.js
[00:22:48.273] GET /js/utility.js
[00:22:48.277] GET /js/main.js
[00:22:48.283] GET /js/.js?_=1470003768009
[00:22:48.287] GET /js/sync.js?_=1470003768010
[00:22:48.288] GET /css/sync.css
[00:22:48.348] GET /
[00:22:48.350] GET /sync
[00:22:48.360] GET /css/normalize.css
[00:22:48.361] GET /css/sweetalert.css
[00:22:48.361] GET /css/default.css
[00:22:48.365] GET /js/jquery.min.js
[00:22:48.403] GET /js/jquery.qrcode.min.js
[00:22:48.411] GET /js/rx.lite.js
[00:22:48.453] GET /js/mustache.min.js
[00:22:48.460] GET /js/sweetalert.min.js
[00:22:48.472] GET /js/utility.js
[00:22:48.476] GET /js/main.js
[00:22:48.504] GET /js/.js?_=1470003768201
[00:22:48.509] GET /css/sync.css
[00:22:48.511] GET /js/sync.js?_=1470003768202
[00:22:48.577] GET /
[00:22:48.579] GET /sync
[00:22:48.593] GET /css/normalize.css
[00:22:48.594] GET /css/sweetalert.css
[00:22:48.594] GET /css/default.css
[00:22:48.597] GET /js/jquery.min.js
[00:22:48.630] GET /js/jquery.qrcode.min.js
[00:22:48.637] GET /js/rx.lite.js
[00:22:48.673] GET /js/mustache.min.js
[00:22:48.679] GET /js/sweetalert.min.js
[00:22:48.688] GET /js/utility.js
[00:22:48.692] GET /js/main.js
[00:22:48.698] GET /js/.js?_=1470003768399
[00:22:48.706] GET /css/sync.css
[00:22:48.708] GET /js/sync.js?_=1470003768400
[00:22:48.763] GET /
[00:22:48.765] GET /sync
[00:22:48.776] GET /css/normalize.css
[00:22:48.776] GET /css/sweetalert.css
[00:22:48.777] GET /css/default.css
[00:22:48.780] GET /js/jquery.min.js
[00:22:48.827] GET /js/jquery.qrcode.min.js
[00:22:48.837] GET /js/rx.lite.js
[00:22:48.875] GET /js/mustache.min.js
[00:22:48.881] GET /js/sweetalert.min.js
[00:22:48.894] GET /js/utility.js
[00:22:48.901] GET /js/main.js
[00:22:48.907] GET /js/.js?_=1470003768626
[00:22:48.911] GET /css/sync.css
[00:22:48.913] GET /js/sync.js?_=1470003768627
[00:22:48.971] GET /
[00:22:48.973] GET /sync
[00:22:48.986] GET /css/normalize.css
[00:22:48.988] GET /css/sweetalert.css
[00:22:48.990] GET /css/default.css
[00:22:48.993] GET /js/jquery.min.js
[00:22:49.037] GET /js/jquery.qrcode.min.js
[00:22:49.046] GET /js/rx.lite.js
[00:22:49.088] GET /js/mustache.min.js
[00:22:49.094] GET /js/sweetalert.min.js
[00:22:49.109] GET /js/utility.js
[00:22:49.113] GET /js/main.js
[00:22:49.153] GET /js/.js?_=1470003768815
[00:22:49.154] GET /js/sync.js?_=1470003768816
[00:22:49.154] GET /css/sync.css
[00:22:49.158] GET /
[00:22:49.161] GET /sync
[00:22:49.185] GET /css/normalize.css
[00:22:49.185] GET /css/sweetalert.css
[00:22:49.186] GET /css/default.css
[00:22:49.189] GET /js/jquery.min.js
[00:22:49.244] GET /js/jquery.qrcode.min.js
[00:22:49.250] GET /js/rx.lite.js
[00:22:49.291] GET /js/mustache.min.js
[00:22:49.296] GET /js/sweetalert.min.js
[00:22:49.305] GET /js/utility.js
[00:22:49.309] GET /js/main.js
[00:22:49.315] GET /js/.js?_=1470003769030
[00:22:49.321] GET /css/sync.css
[00:22:49.323] GET /js/sync.js?_=1470003769031
[00:22:49.724] GET /
[00:22:49.728] GET /sync
[00:22:49.735] GET /css/normalize.css
[00:22:49.735] GET /css/sweetalert.css
[00:22:49.736] GET /css/default.css
[00:22:49.739] GET /js/jquery.min.js
[00:22:49.771] GET /js/jquery.qrcode.min.js
[00:22:49.776] GET /js/rx.lite.js
[00:22:49.806] GET /js/mustache.min.js
[00:22:49.813] GET /js/sweetalert.min.js
[00:22:49.822] GET /js/utility.js
[00:22:49.826] GET /js/main.js
[00:22:49.830] GET /js/.js?_=1470003769239
[00:22:49.834] GET /css/sync.css
[00:22:49.836] GET /js/sync.js?_=1470003769240
[00:22:51.788] GET /
[00:22:51.789] GET /sync
[00:22:51.795] GET /css/normalize.css
[00:22:51.796] GET /css/sweetalert.css
[00:22:51.796] GET /css/default.css
[00:22:51.799] GET /js/jquery.min.js
[00:22:51.828] GET /js/jquery.qrcode.min.js
[00:22:51.834] GET /js/rx.lite.js
[00:22:51.867] GET /js/mustache.min.js
[00:22:51.873] GET /js/sweetalert.min.js
[00:22:51.882] GET /js/utility.js
